,accdate,Operator_ID,AccTypeCodeDescr,AccSubTypeCodeDescr,acctype,BAITFISH Code,AccPreventable,Retraining,vehbusno,vehmake,vehyear,Drv_Age,CoDrvSex,Roadway,RoadwayLightConditions,RoadwayWeather,RoadwaySurface,Addr_Type,Neighborhood,LocAddr1,FileNumber,Longitude,Latitude,SpeedLimitCategory,n_accidents_in_0.003,n_accidents_in_0.006,n_accidents_in_0.0015,n_accidents_in_0.00075,n_accidents_in_0.0005,accday,acctime,acctimeperiod,days_pick_start,days_absent,days_excused,days_holiday,days_late,days_medical,days_vacation,days_last_accident,days_employment,freq_absence_one_week,freq_extra_one_week,freq_absence_one_month,freq_extra_one_month,freq_absence_two_month,freq_extra_two_month,accyear,accmonth,accday_
26,2016-06-09 11:28:00,226,2,4,2,4,1,1,1409,2,0,53.0,2,5,1,0,0,0,25,397,537,-77.6082346,43.15834,4,74,232,5,0,0,2016-06-09 00:00:00,11:28,1,66.0,1.0,-1.0,-1.0,-1.0,21.0,-1.0,-1.0,66,0.14,0.0,0.33,0.0,0.67,0.0,2016,6,9
27,2016-06-09 11:28:00,186,2,4,2,6,1,1,1402,7,2013,40.0,2,5,2,0,0,0,10,423,540,-77.6089468,43.1580474,4,65,234,7,1,0,2016-06-09 00:00:00,11:28,1,66.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,0.0,0.0,0.0,0.0,0.0,0.0,2016,6,9
28,2016-06-14 16:30:00,85,1,4,3,4,1,1,530,1,2009,59.0,2,5,2,0,0,0,5,620,538,-77.6541129,43.1738493,4,15,46,7,7,7,2016-06-14 00:00:00,16:30,2,71.0,22.0,-1.0,-1.0,28.0,-1.0,-1.0,-1.0,71,0.0,0.0,0.07,0.0,0.05,0.03,2016,6,14
29,2016-06-14 15:15:00,146,2,4,2,8,0,0,772,1,2007,64.0,2,5,2,0,0,0,25,423,549,-77.6089468,43.1580474,4,65,234,7,1,0,2016-06-14 00:00:00,15:15,2,71.0,34.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.0,71,0.0,0.0,0.0,0.03,0.02,0.02,2016,6,14
30,2016-06-14 15:15:00,105,2,4,2,4,1,1,917,1,2011,46.0,2,5,2,0,0,0,5,399,539,-77.6089468,43.1580474,4,65,234,7,1,0,2016-06-14 00:00:00,15:15,2,71.0,33.0,4.0,-1.0,1.0,36.0,-1.0,-1.0,71,0.29,0.0,0.07,0.0,0.47,0.0,2016,6,14
31,2016-06-16 13:15:00,282,2,4,2,8,0,0,805,1,2004,53.0,1,5,2,0,0,0,40,414,542,-77.6089468,43.1580474,4,65,234,7,1,0,2016-06-16 00:00:00,13:15,2,73.0,26.0,28.0,-1.0,-1.0,-1.0,46.0,-1.0,73,0.0,0.14,0.1,0.17,0.18,0.13,2016,6,16
32,2016-06-16 13:15:00,56,2,4,2,6,1,1,524,1,2009,57.0,2,4,2,0,0,0,25,406,541,-77.6089468,43.1580474,4,65,234,7,1,0,2016-06-16 00:00:00,13:15,2,73.0,64.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,73,0.43,0.0,0.23,0.0,0.12,0.0,2016,6,16
33,2016-06-20 15:15:00,102,15,14,3,4,1,1,701,1,2004,51.0,2,5,2,0,0,0,5,494,543,-77.6150219,43.1553368,4,54,167,21,0,0,2016-06-20 00:00:00,15:15,2,77.0,10.0,69.0,-1.0,40.0,-1.0,42.0,-1.0,77,0.0,0.0,0.03,0.0,0.05,0.02,2016,6,20
34,2016-06-21 08:25:00,331,0,4,3,4,1,1,1315,7,2012,31.0,2,5,2,0,0,0,25,264,544,-77.62967080000001,43.2170164,5,0,5,0,0,0,2016-06-21 00:00:00,08:25,1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2016,6,21
35,2016-06-21 10:17:00,32,15,14,1,4,1,1,738,1,2005,60.0,1,5,2,0,0,0,5,184,546,-77.62059570000001,43.188114,4,4,70,2,1,0,2016-06-21 00:00:00,10:17,1,78.0,6.0,14.0,30.0,-1.0,-1.0,16.0,-1.0,78,0.14,0.0,0.57,0.0,0.4,0.0,2016,6,21
36,2016-06-22 19:05:00,309,22,33,2,8,0,0,386,7,2013,33.0,1,5,2,0,0,1,25,699,547,-77.61027849999999,43.1448534,4,15,47,3,2,2,2016-06-22 00:00:00,19:05,3,79.0,11.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,79,0.14,0.0,0.1,0.03,0.05,0.02,2016,6,22
37,2016-06-23 11:50:00,112,3,4,2,8,0,0,514,1,2009,39.0,2,5,2,0,0,1,5,775,548,-77.61278949999999,43.1635329,6,14,90,9,9,8,2016-06-23 00:00:00,11:50,1,80.0,27.0,15.0,-1.0,-1.0,-1.0,4.0,51.0,80,0.43,0.0,0.57,0.0,0.28,0.0,2016,6,23
38,2016-06-23 07:35:00,241,22,34,2,3,1,1,1321,7,2012,44.0,2,4,2,0,0,0,25,640,545,-77.50448730000001,43.1030346,0,2,4,2,1,1,2016-06-23 00:00:00,07:35,1,80.0,12.0,-1.0,17.0,-1.0,22.0,-1.0,-1.0,80,0.0,0.0,0.2,0.0,0.1,0.0,2016,6,23
39,2016-06-24 15:42:00,191,22,31,2,8,0,0,916,1,2011,56.0,2,5,2,0,0,0,5,484,554,-77.5921638,43.160032,4,36,108,11,1,0,2016-06-24 00:00:00,15:42,2,81.0,45.0,-1.0,51.0,-1.0,-1.0,-1.0,-1.0,81,0.0,0.0,0.0,0.0,0.05,0.0,2016,6,24
40,2016-06-24 16:38:00,292,22,33,2,8,0,0,912,1,2011,29.0,1,5,2,0,0,0,11,203,550,-77.6390701,43.2026721,4,62,107,10,2,0,2016-06-24 00:00:00,16:38,2,81.0,6.0,26.0,-1.0,-1.0,61.0,-1.0,-1.0,81,0.14,0.0,0.07,0.0,0.05,0.0,2016,6,24
41,2016-06-25 07:30:00,152,18,23,1,8,0,0,524,2,0,55.0,2,5,2,0,0,0,5,227,551,-77.6918163,43.13216569999999,6,1,34,0,0,0,2016-06-25 00:00:00,07:30,1,82.0,2.0,-1.0,-1.0,-1.0,-1.0,69.0,-1.0,82,0.14,0.0,0.03,0.0,0.07,0.0,2016,6,25
42,2016-06-27 18:50:00,329,2,4,2,4,1,1,535,2,0,36.0,2,5,2,0,0,0,25,424,552,-77.6082346,43.15834,4,74,232,5,0,0,2016-06-27 00:00:00,18:50,3,84.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,84,0.0,0.0,0.0,0.0,0.0,0.0,2016,6,27
43,2016-06-27 18:50:00,19,2,4,2,8,0,0,1312,7,2012,65.0,2,5,2,0,0,0,25,792,553,-77.6081421,43.1582509,4,100,233,4,0,0,2016-06-27 00:00:00,18:50,3,84.0,34.0,21.0,14.0,-1.0,-1.0,-1.0,-1.0,84,0.0,0.14,0.07,0.13,0.07,0.13,2016,6,27
44,2016-06-30 13:10:00,182,14,4,2,14,1,1,541,1,2009,38.0,2,5,2,0,0,0,2,409,555,-77.6089468,43.1580474,4,65,234,7,1,0,2016-06-30 00:00:00,13:10,2,3.0,39.0,78.0,-1.0,45.0,-1.0,72.0,29.0,87,0.0,0.0,0.0,0.0,0.07,0.02,2016,6,30
45,2016-07-01 07:05:00,64,5,4,6,6,1,1,1304,7,2012,60.0,2,5,2,1,0,0,25,637,556,-77.59903539999999,43.1974855,3,50,69,0,0,0,2016-07-01 00:00:00,07:05,1,4.0,-1.0,73.0,-1.0,-1.0,-1.0,-1.0,-1.0,88,0.0,0.0,0.0,0.0,0.0,0.0,2016,7,1
46,2016-07-05 08:59:00,81,13,4,0,12,1,1,904,1,2011,43.0,1,1,2,0,0,1,25,674,558,-77.6062362,43.1486258,4,59,121,13,13,10,2016-07-05 00:00:00,08:59,1,8.0,21.0,-1.0,-1.0,-1.0,28.0,37.0,-1.0,92,0.0,0.0,0.13,0.0,0.3,0.0,2016,7,5
47,2016-07-06 12:55:00,185,22,33,2,8,0,0,548,1,2009,59.0,2,5,2,0,0,0,3,343,559,-77.6598126,43.15927079999999,4,101,184,31,24,23,2016-07-06 00:00:00,12:55,2,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,93,0.0,0.0,0.0,0.07,0.0,0.1,2016,7,6
48,2016-07-06 07:00:00,65,1,2,3,4,1,1,527,1,2009,68.0,2,5,2,0,0,0,5,314,557,-77.6078386,43.1560698,4,79,225,11,0,0,2016-07-06 00:00:00,07:00,1,9.0,8.0,-1.0,-1.0,7.0,71.0,-1.0,-1.0,93,0.0,0.0,0.07,0.0,0.05,0.0,2016,7,6
