,accident_date,operator_id,days_pick_start,days_absent,days_excused,days_holiday,days_late,days_medical,days_vacation,days_last_accident,days_employment,freq_absence_one_week,freq_extra_one_week,freq_absence_one_month,freq_extra_one_month,freq_absence_two_month,freq_extra_two_month,accident_type
452,2017-05-15,272,42,3,62,183,91,193,260,118,406,0.14,0.0,0.03,0.0,0.02,0.02,0
453,2018-08-23,272,59,4,64,283,155,658,53,465,871,0.29,0.0,0.07,0.0,0.13,0.0,0
454,2018-04-10,273,8,35,6,284,303,38,324,-1,736,0.14,0.0,0.1,0.0,0.17,0.0,1
455,2018-04-17,273,15,42,1,291,310,45,331,7,743,0.29,0.0,0.1,0.0,0.18,0.0,1
456,2018-06-12,273,71,30,2,347,366,55,23,56,799,0.14,0.0,0.43,0.0,0.37,0.02,1
457,2019-01-27,273,20,23,6,211,595,92,154,229,1028,0.14,0.0,0.27,0.0,0.28,0.0,0
458,2016-09-07,275,1,9,141,136,116,-1,-1,-1,156,0.0,0.0,0.03,0.03,0.02,0.02,0
459,2017-08-26,275,61,34,132,489,98,-1,125,353,509,0.0,0.0,0.0,0.0,0.02,0.0,1
460,2017-11-21,275,78,63,13,83,185,-1,44,87,596,0.0,0.0,0.07,0.0,0.15,0.0,1
461,2018-01-09,275,8,16,20,132,234,-1,93,49,645,0.0,0.0,0.1,0.0,0.07,0.0,0
462,2018-03-28,275,86,94,98,210,38,-1,171,78,723,0.0,0.0,0.0,0.0,0.02,0.0,0
463,2018-04-16,275,14,113,5,229,57,-1,8,19,742,0.14,0.0,0.27,0.0,0.15,0.0,0
464,2018-06-25,275,84,183,8,299,30,-1,78,70,812,0.0,0.0,0.03,0.0,0.07,0.0,1
465,2019-07-17,275,16,18,38,686,121,-1,109,387,1199,0.0,0.0,0.03,0.0,0.07,0.02,0
466,2016-12-05,276,90,20,13,95,-1,-1,50,-1,245,0.0,0.0,0.13,0.0,0.22,0.0,0
467,2018-03-08,276,66,16,15,553,-1,1,207,458,703,0.29,0.0,0.2,0.0,0.13,0.0,0
